date,open,high,low,close,volume
2011-01-24,0.9,0.9,0.9,0.9,0
2011-01-25,0.9,0.9,0.9,0.9,0
2011-01-26,0.9,0.9,0.9,0.9,0
2011-01-27,0.9,0.9,0.9,0.9,0
2011-01-28,0.9,0.9,0.9,0.9,0
2011-01-31,0.9,0.9,0.9,0.9,0
2011-02-01,0.9,0.9,0.9,0.9,0
2011-02-02,0.9,0.9,0.9,0.9,0
2011-02-03,0.9,0.9,0.9,0.9,0
2011-02-04,0.9,0.9,0.9,0.9,0
2011-02-07,0.9,0.9,0.9,0.9,0
2011-02-08,0.9,0.9,0.9,0.9,0
2011-02-09,0.9,0.9,0.9,0.9,0
2011-02-10,0.9,0.9,0.9,0.9,0
2011-02-11,0.9,0.9,0.9,0.9,0
2011-02-14,0.9,0.9,0.9,0.9,0
2011-02-15,0.9,0.9,0.9,0.9,0
2011-02-16,0.9,0.9,0.9,0.9,0
2011-02-17,0.9,0.9,0.9,0.9,0
2011-02-18,0.9,0.9,0.9,0.9,0
2011-02-22,0.9,0.9,0.9,0.9,0
2011-02-23,0.9,0.9,0.9,0.9,0
2011-02-24,0.9,0.9,0.9,0.9,0
2011-02-25,0.9,0.9,0.9,0.9,0
2011-02-28,0.9,0.9,0.9,0.9,0
2011-03-01,0.9,0.9,0.9,0.9,0
2011-03-02,0.9,0.9,0.9,0.9,0
2011-03-03,0.9,0.9,0.9,0.9,0
2011-03-04,3.06,4.5,3.06,4.5,733
2011-03-07,4.5,4.5,4.5,4.5,0
2011-03-08,4.5,4.5,4.5,4.5,0
2011-03-09,4.5,4.5,4.5,4.5,0
2011-03-10,4.5,4.5,4.5,4.5,0
2011-03-11,4.5,4.5,4.5,4.5,0
2011-03-14,4.5,4.5,4.5,4.5,0
2011-03-15,4.5,4.5,4.5,4.5,0
2011-03-16,4.5,4.5,4.5,4.5,0
2011-03-17,4.5,4.5,4.5,4.5,0
2011-03-18,4.5,4.5,4.5,4.5,0
2011-03-21,4.5,4.5,4.5,4.5,0
2011-03-22,4.5,4.5,4.5,4.5,0
2011-03-23,4.5,4.5,4.5,4.5,0
2011-03-24,4.5,4.5,4.5,4.5,0
2011-03-25,4.5,4.5,4.5,4.5,0
2011-03-28,4.5,4.5,4.5,4.5,0
2011-03-29,4.5,4.5,4.5,4.5,0
2011-03-30,4.5,4.5,4.5,4.5,0
2011-03-31,4.5,4.5,4.5,4.5,0
2011-04-01,4.5,4.5,4.5,4.5,0
2011-04-04,4.5,4.5,4.5,4.5,0
2011-04-05,4.5,4.5,4.5,4.5,0
2011-04-06,4.5,4.5,4.5,4.5,0
2011-04-07,4.5,4.5,4.5,4.5,0
2011-04-08,4.5,4.5,4.5,4.5,0
2011-04-11,4.5,4.5,4.5,4.5,0
2011-04-12,4.5,4.5,4.5,4.5,0
2011-04-13,4.5,4.5,4.5,4.5,0
2011-04-14,4.5,4.5,4.5,4.5,0
2011-04-15,4.5,4.5,4.5,4.5,0
2011-04-18,4.5,4.5,4.5,4.5,0
2011-04-19,4.5,4.5,4.5,4.5,0
2011-04-20,4.5,4.5,4.5,4.5,0
2011-04-21,4.5,4.5,4.5,4.5,0
2011-04-25,4.5,4.5,4.5,4.5,0
2011-04-26,4.5,4.5,4.5,4.5,0
2011-04-27,4.5,4.5,4.5,4.5,0
2011-04-28,4.5,4.5,4.5,4.5,0
2011-04-29,4.5,4.5,4.5,4.5,0
2011-05-02,4.5,4.5,4.5,4.5,0
2011-05-03,3.9,3.9,3.9,3.9,217
2011-05-04,3.9,3.9,3.9,3.9,0
2011-05-05,3.9,3.9,3.9,3.9,0
2011-05-06,3.9,3.9,3.9,3.9,0
2011-05-09,3.9,3.9,3.9,3.9,0
2011-05-10,3.9,3.9,3.9,3.9,0
2011-05-11,3.9,3.9,3.9,3.9,0
2011-05-12,3.9,3.9,3.9,3.9,0
2011-05-13,3.9,3.9,3.9,3.9,0
2011-05-16,3.9,3.9,3.9,3.9,0
2011-05-17,3.9,3.9,3.9,3.9,0
2011-05-18,3.9,3.9,3.9,3.9,0
2011-05-19,3.9,3.9,3.9,3.9,0
2011-05-20,3.9,3.9,3.9,3.9,0
2011-05-23,3.9,3.9,3.9,3.9,0
2011-05-24,3.9,3.9,3.9,3.9,0
2011-05-25,3.9,3.9,3.9,3.9,0
2011-05-26,3.9,3.9,3.9,3.9,0
2011-05-27,3.9,3.9,3.9,3.9,0
2011-05-31,3.9,3.9,3.9,3.9,0
2011-06-01,3.9,3.9,3.9,3.9,0
2011-06-02,3.9,3.9,3.9,3.9,0
2011-06-03,3.9,3.9,3.9,3.9,0
2011-06-06,3.9,3.9,3.9,3.9,0
2011-06-07,3.9,3.9,3.9,3.9,0
2011-06-08,3.9,3.9,3.9,3.9,0
2011-06-09,3.9,3.9,3.9,3.9,0
2011-06-10,3.9,3.9,3.9,3.9,0
2011-06-13,3.9,3.9,3.9,3.9,0
2011-06-14,3.9,3.9,3.9,3.9,0
2011-06-15,3.9,3.9,3.9,3.9,0
2011-06-16,3.9,3.9,3.9,3.9,0
2011-06-17,3.9,3.9,3.9,3.9,0
2011-06-20,3.9,3.9,3.9,3.9,0
2011-06-21,3.9,3.9,3.9,3.9,0
2011-06-22,3.9,3.9,3.9,3.9,0
2011-06-23,3.9,3.9,3.9,3.9,0
2011-06-24,3.9,3.9,3.9,3.9,0
2011-06-27,3.9,3.9,3.9,3.9,0
2011-06-28,3.9,3.9,3.9,3.9,0
2011-06-29,3.9,3.9,3.9,3.9,0
2011-06-30,3.9,3.9,3.9,3.9,0
2011-07-01,3.9,3.9,3.9,3.9,0
2011-07-05,3.9,3.9,3.9,3.9,0
2011-07-06,3.9,3.9,3.9,3.9,0
2011-07-07,3.9,3.9,3.9,3.9,0
2011-07-08,3.9,3.9,3.9,3.9,0
2011-07-11,3.9,3.9,3.9,3.9,0
2011-07-12,3.9,3.9,3.9,3.9,0
2011-07-13,3.9,3.9,3.9,3.9,0
2011-07-14,3.9,3.9,3.9,3.9,0
2011-07-15,3.9,3.9,3.9,3.9,0
2011-07-18,3.9,3.9,3.9,3.9,0
2011-07-19,3.9,3.9,3.9,3.9,0
2011-07-20,3.9,3.9,3.9,3.9,0
2011-07-21,3.9,3.9,3.9,3.9,0
2011-07-22,3.9,3.9,3.9,3.9,0
2011-07-25,3.9,3.9,3.9,3.9,0
2011-07-26,3.9,3.9,3.9,3.9,0
2011-07-27,3.9,3.9,3.9,3.9,0
2011-07-28,3.9,3.9,3.9,3.9,0
2011-07-29,3.9,3.9,3.9,3.9,0
2011-08-01,3.9,3.9,3.9,3.9,0
2011-08-02,3.9,3.9,3.9,3.9,0
2011-08-03,3.9,3.9,3.9,3.9,0
2011-08-04,3.9,3.9,3.9,3.9,0
2011-08-05,3.9,3.9,3.9,3.9,0
2011-08-08,3.9,3.9,3.9,3.9,0
2011-08-09,3.9,3.9,3.9,3.9,0
2011-08-10,3.9,3.9,3.9,3.9,0
2011-08-11,3.9,3.9,3.9,3.9,0
2011-08-12,3.9,3.9,3.9,3.9,0
2011-08-15,3.9,3.9,3.9,3.9,0
2011-08-16,3.9,3.9,3.9,3.9,0
2011-08-17,3.9,3.9,3.9,3.9,0
2011-08-18,3.9,3.9,3.9,3.9,0
2011-08-19,3.9,3.9,3.9,3.9,0
2011-08-22,3.9,3.9,3.9,3.9,0
2011-08-23,3.9,3.9,3.9,3.9,0
2011-08-24,3.9,3.9,3.9,3.9,0
2011-08-25,3.9,3.9,3.9,3.9,0
2011-08-26,3.9,3.9,3.9,3.9,0
2011-08-29,3.9,3.9,3.9,3.9,0
2011-08-30,3.9,3.9,3.9,3.9,0
2011-08-31,3.9,3.9,3.9,3.9,0
2011-09-01,3.9,3.9,3.9,3.9,0
2011-09-02,3.9,3.9,3.9,3.9,0
2011-09-06,3.9,3.9,3.9,3.9,0
2011-09-07,3.9,3.9,3.9,3.9,0
2011-09-08,3.9,3.9,3.9,3.9,0
2011-09-09,3.9,3.9,3.9,3.9,0
2011-09-12,3.9,3.9,3.9,3.9,0
2011-09-13,3.9,3.9,3.9,3.9,0
2011-09-14,3.9,3.9,3.9,3.9,0
2011-09-15,3.9,3.9,3.9,3.9,0
2011-09-16,3.9,3.9,3.9,3.9,0
2011-09-19,3.9,3.9,3.9,3.9,0
2011-09-20,3.9,3.9,3.9,3.9,0
2011-09-21,3.9,3.9,3.9,3.9,0
2011-09-22,3.9,3.9,3.9,3.9,0
2011-09-23,3.9,3.9,3.9,3.9,0
2011-09-26,3.9,3.9,3.9,3.9,0
2011-09-27,3.9,3.9,3.9,3.9,0
2011-09-28,3.9,3.9,3.9,3.9,0
2011-09-29,3.9,3.9,3.9,3.9,0
2011-09-30,3.9,3.9,3.9,3.9,0
2011-10-03,3.9,3.9,3.9,3.9,0
2011-10-04,3.9,3.9,3.9,3.9,0
2011-10-05,3.9,3.9,3.9,3.9,0
2011-10-06,3.9,3.9,3.9,3.9,0
2011-10-07,3.9,3.9,3.9,3.9,0
2011-10-10,3.9,3.9,3.9,3.9,0
2011-10-11,3.9,3.9,3.9,3.9,0
2011-10-12,3.9,3.9,3.9,3.9,0
2011-10-13,3.9,3.9,3.9,3.9,0
2011-10-14,3.9,3.9,3.9,3.9,0
2011-10-17,3.9,3.9,3.9,3.9,0
2011-10-18,3.9,3.9,3.9,3.9,0
2011-10-19,3.9,3.9,3.9,3.9,0
2011-10-20,3.9,3.9,3.9,3.9,0
2011-10-21,3.9,3.9,3.9,3.9,0
2011-10-24,3.9,3.9,3.9,3.9,0
2011-10-25,3.9,3.9,3.9,3.9,0
2011-10-26,3.9,3.9,3.9,3.9,0
2011-10-27,3.9,3.9,3.9,3.9,0
2011-10-28,3.9,3.9,3.9,3.9,0
2011-10-31,3.9,3.9,3.9,3.9,0
2011-11-01,3.9,3.9,3.9,3.9,0
2011-11-02,3.9,3.9,3.9,3.9,0
2011-11-03,3.9,3.9,3.9,3.9,0
2011-11-04,3.9,3.9,3.9,3.9,0
2011-11-07,3.9,3.9,3.9,3.9,0
2011-11-08,3.9,3.9,3.9,3.9,0
2011-11-09,3.9,3.9,3.9,3.9,0
2011-11-10,3.9,3.9,3.9,3.9,0
2011-11-11,3.9,3.9,3.9,3.9,0
2011-11-14,3.9,3.9,3.9,3.9,0
2011-11-15,3.9,3.9,3.9,3.9,0
2011-11-16,3.9,3.9,3.9,3.9,0
2011-11-17,3.9,3.9,3.9,3.9,0
2011-11-18,3.9,3.9,3.9,3.9,0
2011-11-21,3.9,3.9,3.9,3.9,0
2011-11-22,3.9,3.9,3.9,3.9,0
2011-11-23,3.9,3.9,3.9,3.9,0
2011-11-25,3.9,3.9,3.9,3.9,0
2011-11-28,3.9,3.9,3.9,3.9,0
2011-11-29,3.9,3.9,3.9,3.9,0
2011-11-30,3.9,3.9,3.9,3.9,0
2011-12-01,3.9,3.9,3.9,3.9,0
2011-12-02,3.9,3.9,3.9,3.9,0
2011-12-05,3.9,3.9,3.9,3.9,0
2011-12-06,3.9,3.9,3.9,3.9,0
2011-12-07,3.9,3.9,3.9,3.9,0
2011-12-08,3.9,3.9,3.9,3.9,0
2011-12-09,3.9,3.9,3.9,3.9,0
2011-12-12,3.9,3.9,3.9,3.9,0
2011-12-13,3.9,3.9,3.9,3.9,0
2011-12-14,3.9,3.9,3.9,3.9,0
2011-12-15,3.9,3.9,3.9,3.9,0
2011-12-16,3.9,3.9,3.9,3.9,0
2011-12-19,3.9,3.9,3.9,3.9,0
2011-12-20,3.9,3.9,3.9,3.9,0
2011-12-21,3.9,3.9,3.9,3.9,0
2011-12-22,3.9,3.9,3.9,3.9,0
2011-12-23,3.9,3.9,3.9,3.9,0
2011-12-27,3.9,3.9,3.9,3.9,0
2011-12-28,3.9,3.9,3.9,3.9,0
2011-12-29,3.9,3.9,3.9,3.9,0
2011-12-30,3.9,3.9,3.9,3.9,0
2012-01-03,3.9,3.9,3.9,3.9,0
2012-01-04,3.9,3.9,3.9,3.9,0
2012-01-05,3.9,3.9,3.9,3.9,0
2012-01-06,3.9,3.9,3.9,3.9,0
2012-01-09,3.9,3.9,3.9,3.9,0
2012-01-10,3.9,3.9,3.9,3.9,0
2012-01-11,3.9,3.9,3.9,3.9,0
2012-01-12,3.9,3.9,3.9,3.9,0
2012-01-13,3.9,3.9,3.9,3.9,0
2012-01-17,3.9,3.9,3.9,3.9,0
2012-01-18,3.9,3.9,3.9,3.9,0
2012-01-19,3.9,3.9,3.9,3.9,0
2012-01-20,3.9,3.9,3.9,3.9,0
2012-01-23,3.9,3.9,3.9,3.9,0
2012-01-24,3.9,3.9,3.9,3.9,0
2012-01-25,3.9,3.9,3.9,3.9,0
2012-01-26,3.9,3.9,3.9,3.9,0
2012-01-27,3.9,3.9,3.9,3.9,0
2012-01-30,3.9,3.9,3.9,3.9,0
2012-01-31,3.9,3.9,3.9,3.9,0
2012-02-01,3.9,3.9,3.9,3.9,0
2012-02-02,3.9,3.9,3.9,3.9,0
2012-02-03,3.9,3.9,3.9,3.9,0
2012-02-06,3.9,3.9,3.9,3.9,0
2012-02-07,3.9,3.9,3.9,3.9,0
2012-02-08,3.9,3.9,3.9,3.9,0
2012-02-09,3.9,3.9,3.9,3.9,0
2012-02-10,3.9,3.9,3.9,3.9,0
2012-02-13,3.9,3.9,3.9,3.9,0
2012-02-14,3.9,3.9,3.9,3.9,0
2012-02-15,3.9,3.9,3.9,3.9,0
2012-02-16,3.9,3.9,3.9,3.9,0
2012-02-17,3.9,3.9,3.9,3.9,0
2012-02-21,3.9,3.9,3.9,3.9,0
2012-02-22,3.9,3.9,3.9,3.9,0
2012-02-23,3.9,3.9,3.9,3.9,0
2012-02-24,3.9,3.9,3.9,3.9,0
2012-02-27,3.9,3.9,3.9,3.9,0
2012-02-28,3.9,3.9,3.9,3.9,0
2012-02-29,3.9,3.9,3.9,3.9,0
2012-03-01,3.9,3.9,3.9,3.9,0
2012-03-02,3.9,3.9,3.9,3.9,0
2012-03-05,3.9,3.9,3.9,3.9,0
2012-03-06,3.9,3.9,3.9,3.9,0
2012-03-07,3.9,3.9,3.9,3.9,0
2012-03-08,3.9,3.9,3.9,3.9,0
2012-03-09,3.9,3.9,3.9,3.9,0
2012-03-12,3.9,3.9,3.9,3.9,0
2012-03-13,3.9,3.9,3.9,3.9,0
2012-03-14,3.9,3.9,3.9,3.9,0
2012-03-15,3.9,3.9,3.9,3.9,0
2012-03-16,3.9,3.9,3.9,3.9,0
2012-03-19,3.9,3.9,3.9,3.9,0
2012-03-20,3.9,3.9,3.9,3.9,0
2012-03-21,3.9,3.9,3.9,3.9,0
2012-03-22,3.9,3.9,3.9,3.9,0
2012-03-23,3.9,3.9,3.9,3.9,0
2012-03-26,3.9,3.9,3.9,3.9,0
2012-03-27,3.9,3.9,3.9,3.9,0
2012-03-28,3.9,3.9,3.9,3.9,0
2012-03-29,3.9,3.9,3.9,3.9,0
2012-03-30,3.9,3.9,3.9,3.9,0
2012-04-02,3.9,3.9,3.9,3.9,0
2012-04-03,3.9,3.9,3.9,3.9,0
2012-04-04,3.9,3.9,3.9,3.9,0
2012-04-05,3.9,3.9,3.9,3.9,0
2012-04-09,3.9,3.9,3.9,3.9,0
2012-04-10,3.9,3.9,3.9,3.9,0
2012-04-11,3.9,3.9,3.9,3.9,0
2012-04-12,3.9,3.9,3.9,3.9,0
2012-04-13,3.9,3.9,3.9,3.9,0
2012-04-16,3.9,3.9,3.9,3.9,0
2012-04-17,3.9,3.9,3.9,3.9,0
2012-04-18,3.9,3.9,3.9,3.9,0
2012-04-19,3.9,3.9,3.9,3.9,0
2012-04-20,3.9,3.9,3.9,3.9,0
2012-04-23,3.9,3.9,3.9,3.9,0
2012-04-24,3.9,3.9,3.9,3.9,0
2012-04-25,3.9,3.9,3.9,3.9,0
2012-04-26,3.9,3.9,3.9,3.9,0
2012-04-27,3.9,3.9,3.9,3.9,0
2012-04-30,3.9,3.9,3.9,3.9,0
2012-05-01,3.9,3.9,3.9,3.9,0
2012-05-02,3.9,3.9,3.9,3.9,0
2012-05-03,3.9,3.9,3.9,3.9,0
2012-05-04,3.9,3.9,3.9,3.9,0
2012-05-07,3.9,3.9,3.9,3.9,0
2012-05-08,3.9,3.9,3.9,3.9,0
2012-05-09,3.9,3.9,3.9,3.9,0
2012-05-10,3.9,3.9,3.9,3.9,0
2012-05-11,3.9,3.9,3.9,3.9,0
2012-05-14,3.9,3.9,3.9,3.9,0
2012-05-15,3.9,3.9,3.9,3.9,0
2012-05-16,3.9,3.9,3.9,3.9,0
2012-05-17,3.9,3.9,3.9,3.9,0
2012-05-18,3.9,3.9,3.9,3.9,0
2012-05-21,3.9,3.9,3.9,3.9,0
2012-05-22,3.9,3.9,3.9,3.9,0
2012-05-23,3.9,3.9,3.9,3.9,0
2012-05-24,3.9,3.9,3.9,3.9,0
2012-05-25,3.9,3.9,3.9,3.9,0
2012-05-29,3.9,3.9,3.9,3.9,0
2012-05-30,3.9,3.9,3.9,3.9,0
2012-05-31,3.9,3.9,3.9,3.9,0
2012-06-01,3.9,3.9,3.9,3.9,0
2012-06-04,3.9,3.9,3.9,3.9,0
2012-06-05,3.9,3.9,3.9,3.9,0
2012-06-06,3.9,3.9,3.9,3.9,0
2012-06-07,3.9,3.9,3.9,3.9,0
2012-06-08,3.9,3.9,3.9,3.9,0
2012-06-11,3.9,3.9,3.9,3.9,0
2012-06-12,3.9,3.9,3.9,3.9,0
2012-06-13,3.9,3.9,3.9,3.9,0
2012-06-14,3.9,3.9,3.9,3.9,0
2012-06-15,3.9,3.9,3.9,3.9,0
2012-06-18,3.9,3.9,3.9,3.9,0
2012-06-19,3.9,3.9,3.9,3.9,0
2012-06-20,3.9,3.9,3.9,3.9,0
2012-06-21,3.9,3.9,3.9,3.9,0
2012-06-22,3.9,3.9,3.9,3.9,0
2012-06-25,3.9,3.9,3.9,3.9,0
2012-06-26,3.9,3.9,3.9,3.9,0
2012-06-27,3.9,3.9,3.9,3.9,0
2012-06-28,3.9,3.9,3.9,3.9,0
2012-06-29,3.9,3.9,3.9,3.9,0
2012-07-02,3.9,3.9,3.9,3.9,0
2012-07-03,3.9,3.9,3.9,3.9,0
2012-07-05,3.9,3.9,3.9,3.9,0
2012-07-06,3.9,3.9,3.9,3.9,0
2012-07-09,3.9,3.9,3.9,3.9,0
2012-07-10,3.9,3.9,3.9,3.9,0
2012-07-11,3.9,3.9,3.9,3.9,0
2012-07-12,3.9,3.9,3.9,3.9,0
2012-07-13,3.9,3.9,3.9,3.9,0
2012-07-16,3.9,3.9,3.9,3.9,0
2012-07-17,3.9,3.9,3.9,3.9,0
2012-07-18,3.9,3.9,3.9,3.9,0
2012-07-19,3.9,3.9,3.9,3.9,0
2012-07-20,3.9,3.9,3.9,3.9,0
2012-07-23,3.9,3.9,3.9,3.9,0
2012-07-24,3.9,3.9,3.9,3.9,0
2012-07-25,3.9,3.9,3.9,3.9,0
2012-07-26,3.9,3.9,3.9,3.9,0
2012-07-27,3.9,3.9,3.9,3.9,0
2012-07-30,3.9,3.9,3.9,3.9,0
2012-07-31,3.9,3.9,3.9,3.9,0
2012-08-01,3.9,3.9,3.9,3.9,0
2012-08-02,3.9,3.9,3.9,3.9,0
2012-08-03,3.9,3.9,3.9,3.9,0
2012-08-06,3.9,3.9,3.9,3.9,0
2012-08-07,3.9,3.9,3.9,3.9,0
2012-08-08,3.9,3.9,3.9,3.9,0
2012-08-09,3.9,3.9,3.9,3.9,0
2012-08-10,3.9,3.9,3.9,3.9,0
2012-08-13,3.9,3.9,3.9,3.9,0
2012-08-14,3.9,3.9,3.9,3.9,0
2012-08-15,3.9,3.9,3.9,3.9,0
2012-08-16,3.9,3.9,3.9,3.9,0
2012-08-17,3.9,3.9,3.9,3.9,0
2012-08-20,3.9,3.9,3.9,3.9,0
2012-08-21,3.9,3.9,3.9,3.9,0
2012-08-22,3.9,3.9,3.9,3.9,0
2012-08-23,3.9,3.9,3.9,3.9,0
2012-08-24,3.9,3.9,3.9,3.9,0
2012-08-27,3.9,3.9,3.9,3.9,0
2012-08-28,3.9,3.9,3.9,3.9,0
2012-08-29,3.9,3.9,3.9,3.9,0
2012-08-30,3.9,3.9,3.9,3.9,0
2012-08-31,3.9,3.9,3.9,3.9,0
2012-09-04,3.9,3.9,3.9,3.9,0
2012-09-05,3.9,3.9,3.9,3.9,0
2012-09-06,3.9,3.9,3.9,3.9,0
2012-09-07,3.9,3.9,3.9,3.9,0
2012-09-10,3.9,3.9,3.9,3.9,0
2012-09-11,3.9,3.9,3.9,3.9,0
2012-09-12,3.9,3.9,3.9,3.9,0
2012-09-13,3.9,3.9,3.9,3.9,0
2012-09-14,3.9,3.9,3.9,3.9,0
2012-09-17,3.9,3.9,3.9,3.9,0
2012-09-18,3.9,3.9,3.9,3.9,0
2012-09-19,3.9,3.9,3.9,3.9,0
2012-09-20,3.9,3.9,3.9,3.9,0
2012-09-21,3.9,3.9,3.9,3.9,0
2012-09-24,3.9,3.9,3.9,3.9,0
2012-09-25,3.9,3.9,3.9,3.9,0
2012-09-26,3.9,3.9,3.9,3.9,0
2012-09-27,3.9,3.9,3.9,3.9,0
2012-09-28,3.9,3.9,3.9,3.9,0
2012-10-01,3.9,3.9,3.9,3.9,0
2012-10-02,3.9,3.9,3.9,3.9,0
2012-10-03,3.9,3.9,3.9,3.9,0
2012-10-04,3.9,3.9,3.9,3.9,0
2012-10-05,3.9,3.9,3.9,3.9,0
2012-10-08,3.9,3.9,3.9,3.9,0
2012-10-09,3.9,3.9,3.9,3.9,0
2012-10-10,3.9,3.9,3.9,3.9,0
2012-10-11,3.9,3.9,3.9,3.9,0
2012-10-12,3.9,3.9,3.9,3.9,0
2012-10-15,3.9,3.9,3.9,3.9,0
2012-10-16,3.9,3.9,3.9,3.9,0
2012-10-17,3.9,3.9,3.9,3.9,0
2012-10-18,3.9,3.9,3.9,3.9,0
2012-10-19,3.9,3.9,3.9,3.9,0
2012-10-22,3.9,3.9,3.9,3.9,0
2012-10-23,3.9,3.9,3.9,3.9,0
2012-10-24,3.9,3.9,3.9,3.9,0
2012-10-25,3.9,3.9,3.9,3.9,0
2012-10-26,3.9,3.9,3.9,3.9,0
2012-10-31,3.9,3.9,3.9,3.9,0
2012-11-01,3.9,3.9,3.9,3.9,0
2012-11-02,3.9,3.9,3.9,3.9,0
2012-11-05,3.9,3.9,3.9,3.9,0
2012-11-06,3.9,3.9,3.9,3.9,0
2012-11-07,3.9,3.9,3.9,3.9,0
2012-11-08,3.9,3.9,3.9,3.9,0
2012-11-09,3.9,3.9,3.9,3.9,0
2012-11-12,3.9,3.9,3.9,3.9,0
2012-11-13,3.9,3.9,3.9,3.9,0
2012-11-14,3.9,3.9,3.9,3.9,0
2012-11-15,3.9,3.9,3.9,3.9,0
2012-11-16,3.9,3.9,3.9,3.9,0
2012-11-19,3.9,3.9,3.9,3.9,0
2012-11-20,3.9,3.9,3.9,3.9,0
2012-11-21,3.9,3.9,3.9,3.9,0
2012-11-23,3.9,3.9,3.9,3.9,0
2012-11-26,3.9,3.9,3.9,3.9,0
2012-11-27,3.9,3.9,3.9,3.9,0
2012-11-28,3.9,3.9,3.9,3.9,0
2012-11-29,3.9,3.9,3.9,3.9,0
2012-11-30,3.9,3.9,3.9,3.9,0
2012-12-03,3.9,3.9,3.9,3.9,0
2012-12-04,3.9,3.9,3.9,3.9,0
2012-12-05,3.9,3.9,3.9,3.9,0
2012-12-06,3.9,3.9,3.9,3.9,0
2012-12-07,3.9,3.9,3.9,3.9,0
2012-12-10,3.9,3.9,3.9,3.9,0
2012-12-11,3.9,3.9,3.9,3.9,0
2012-12-12,3.9,3.9,3.9,3.9,0
2012-12-13,3.9,3.9,3.9,3.9,0
2012-12-14,3.9,3.9,3.9,3.9,0
2012-12-17,3.9,3.9,3.9,3.9,0
2012-12-18,3.9,3.9,3.9,3.9,0
2012-12-19,3.9,3.9,3.9,3.9,0
2012-12-20,3.9,3.9,3.9,3.9,0
2012-12-21,3.9,3.9,3.9,3.9,0
2012-12-24,3.9,3.9,3.9,3.9,0
2012-12-26,3.9,3.9,3.9,3.9,0
2012-12-27,3.9,3.9,3.9,3.9,0
2012-12-28,3.9,3.9,3.9,3.9,0
2012-12-31,3.9,3.9,3.9,3.9,0
2013-01-02,3.9,3.9,3.9,3.9,0
2013-01-03,3.9,3.9,3.9,3.9,0
2013-01-04,3.9,3.9,3.9,3.9,0
2013-01-07,3.9,3.9,3.9,3.9,0
2013-01-08,3.9,3.9,3.9,3.9,0
2013-01-09,3.9,3.9,3.9,3.9,0
2013-01-10,3.9,3.9,3.9,3.9,0
2013-01-11,3.9,3.9,3.9,3.9,0
2013-01-14,3.9,3.9,3.9,3.9,0
2013-01-15,3.9,3.9,3.9,3.9,0
2013-01-16,3.9,3.9,3.9,3.9,0
2013-01-17,3.9,3.9,3.9,3.9,0
2013-01-18,3.9,3.9,3.9,3.9,0
2013-01-22,3.9,3.9,3.9,3.9,0
2013-01-23,3.9,3.9,3.9,3.9,0
2013-01-24,3.9,3.9,3.9,3.9,0
2013-01-25,3.9,3.9,3.9,3.9,0
2013-01-28,3.9,3.9,3.9,3.9,0
2013-01-29,3.9,3.9,3.9,3.9,0
2013-01-30,3.9,3.9,3.9,3.9,0
2013-01-31,3.9,3.9,3.9,3.9,0
2013-02-01,3.9,3.9,3.9,3.9,0
2013-02-04,3.9,3.9,3.9,3.9,0
2013-02-05,3.9,3.9,3.9,3.9,0
2013-02-06,3.9,3.9,3.9,3.9,0
2013-02-07,3.9,3.9,3.9,3.9,0
2013-02-08,3.9,3.9,3.9,3.9,0
2013-02-11,3.9,3.9,3.9,3.9,0
2013-02-12,3.9,3.9,3.9,3.9,0
2013-02-13,3.9,3.9,3.9,3.9,0
2013-02-14,3.9,3.9,3.9,3.9,0
2013-02-15,3.9,3.9,3.9,3.9,0
2013-02-19,3.9,3.9,3.9,3.9,0
2013-02-20,3.9,3.9,3.9,3.9,0
2013-02-21,3.9,3.9,3.9,3.9,0
2013-02-22,3.9,3.9,3.9,3.9,0
2013-02-25,3.9,3.9,3.9,3.9,0
2013-02-26,3.9,3.9,3.9,3.9,0
2013-02-27,3.9,3.9,3.9,3.9,0
2013-02-28,3.9,3.9,3.9,3.9,0
2013-03-01,3.9,3.9,3.9,3.9,0
2013-03-04,3.9,3.9,3.9,3.9,0
2013-03-05,3.9,3.9,3.9,3.9,0
2013-03-06,3.9,3.9,3.9,3.9,0
2013-03-07,3.9,3.9,3.9,3.9,0
2013-03-08,3.9,3.9,3.9,3.9,0
2013-03-11,3.9,3.9,3.9,3.9,0
2013-03-12,3.9,3.9,3.9,3.9,0
2013-03-13,3.9,3.9,3.9,3.9,0
2013-03-14,3.9,3.9,3.9,3.9,0
2013-03-15,3.9,3.9,3.9,3.9,0
2013-03-18,3.9,3.9,3.9,3.9,0
2013-03-19,3.9,3.9,3.9,3.9,0
2013-03-20,3.9,3.9,3.9,3.9,0
2013-03-21,3.9,3.9,3.9,3.9,0
2013-03-22,3.9,3.9,3.9,3.9,0
2013-03-25,3.9,3.9,3.9,3.9,0
2013-03-26,3.9,3.9,3.9,3.9,0
2013-03-27,3.9,3.9,3.9,3.9,0
2013-03-28,3.9,3.9,3.9,3.9,0
2013-04-01,3.9,3.9,3.9,3.9,0
2013-04-02,3.9,3.9,3.9,3.9,0
2013-04-03,3.9,3.9,3.9,3.9,0
2013-04-04,3.9,3.9,3.9,3.9,0
2013-04-05,3.9,3.9,3.9,3.9,0
2013-04-08,3.9,3.9,3.9,3.9,0
2013-04-09,3.9,3.9,3.9,3.9,0
2013-04-10,3.96,3.96,3.96,3.96,33
2013-04-11,3.96,3.96,3.96,3.96,0
2013-04-12,3.96,3.96,3.96,3.96,0
2013-04-15,3.96,3.96,3.96,3.96,0
